sentence,linear_amr,graph_amr,is_valid,ground_truth,smatch_score
"tôi nhớ lời anh chủ tịch xã Bùi Văn Luyến nhắc đi nhắc lại : "" coi bộ nhỏ nhưng quan trọng lắm !",(n /nhớ:agent(t /tôi):theme(l /lời:topic(n2 /ncảnh_đi_ncảnh_lại:topic(q /quan_trọng:domain(n3 /nhỏ:modality(c1 /coi_bộ)):degree(l2 /lắm)):agent(chủ_tịch))_:agent(p /person:name(n4 /name:op1(x /xã):op2(wz5 /Bùi):op3(wz6 /Văn):op4(wz7 /Luyến))))))),(n / nhớ:agent(t / tôi):theme(l / lời:topic(n2 / ncảnh_đi_ncảnh_lại:topic(q / quan_trọng:domain(n3 / nhỏ:modality(c1 / coi_bộ)):degree(l2 / lắm)):agent(c / chủ_tịch))_:agent(p / person:name(n4 / name:op1(x / xã):op2(wz5 / Bùi):op3(wz6 / Văn):op4(wz7 / Luyến))))))),False,"(n / nhớ
:pivot(t / tôi)
:theme(l / lời
:poss(c / chủ tịch
:classifier(a / anh)
:mod(x / xã)
:agent-of(n1 / nhắc
:compound(đ / đi)
:compound(n2 / nhắc)
:compound(l1 / lại)
:topic(cx / contrast-01
:ARG1(n3 / nhỏ)
:ARG2(q / quan trọng
:degree(l2 / lắm))))
:mod(p / person
:name(nx / name
:op2(wz1 / Văn)
:op3(wz2 / Luyến)
:op1(wz3 / Bùi))
:wiki -))))",0.0
"hiện nay xã có 68 tổ nhân dân , mỗi tổ phụ trách 40 gia đình .",(c /có:time(h /hiện_nay):theme(t /tổ_nhân_dân:quant(68):theme(p /phụ_trách:agent(t1 /tổ:mod(n1 /nhà)):theme(g /gia_đình:quant(40))),(c / có:time(h / hiện_nay):theme(t / tổ_nhân_dân:quant(x / 68):theme(p / phụ_trách:agent(t1 / tổ:mod(n1 / nhà)):theme(g / gia_đình:quant(x2 / 40))),False,"(m / multi-sentence
:snt1(c / có
:pivot(x / xã)
:theme(t / tổ
:quant 68
:mod(n / nhân dân))
:time(nx / now))
:snt2(p / phụ trách
:agent(t1 / tổ
:mod(mx / mỗi))
:theme(g / gia đình
:quant 40)))",0.0
"chủ trương tốt nhưng dân không hiểu , không hưởng ứng thì cũng chịu thua !",(c /contrast-01:ARG2(c2 /chịu_thua):condition(h /hiểu:pivot(d /dân):polarity -:theme(c1 /chủ_trương:mod(t /tốt))):ARG1(hx /hưởng_ứng:polarity -:agent(dân):theme(chủ_trương))),"    (c / contrast-01
    :ARG2
    (c2 / chịu_thua
    )
    :condition
        (h / hiểu
        :pivot
        (d / dân
        )
        :polarity -
        :theme
            (c1 / chủ_trương
            :mod
            (t / tốt
            )
        )
    )
    :ARG1
        (hx / hưởng_ứng
        :polarity -
        :agent
        (d / dân
        )
        :theme
        (c / chủ_trương
        )
    )
)",True,"(c2 / chịu thua
:concession(c / chủ trương
:mod(t / tốt)
:mod(a / and
:op1(h / hiểu
:pivot(d / dân)
:polarity -)
:op2(h1 / hưởng ứng
:agent d
:polarity -))))",0.0
nên trước nhất người đảng viên phải làm gương .,(o /obligate-01:time(t /trước_nhất):topic(l /làm_guốc:agent(n1 /người:mod(d /đảng_viên)):ord(o2 /ordinal-entity:value(1))),(o / obligate-01:time(t / trước_nhất):topic(l / làm_guốc:agent(n1 / người:mod(d / đảng_viên)):ord(o2 / ordinal-entity:value(x / 1))),False,"(o / obligate-01
:topic(l / làm gương
:pivot(đ / đảng viên
:classifier(n1 / người))))",0.0
"riêng về xuất khẩu lao động , anh Luyến có cách nghĩ riêng : "" du học sinh đi nước ngoài để mở mang kiến thức .",(c /cách_nghĩ:topic(x /xuất_khẩu_lao_động):pivot(a /anh_Luyến):manner(r1 /rồi):topic(m1 /mở_mang:agent(d /du_học_sinh:agent-of(đ /đi:location(n /nước_ngoài))):theme(k /kiến_thức))),"    (c / cách_nghĩ
    :topic
    (x / xuất_khẩu_lao_động
    )
    :pivot
    (a / anh_Luyến
    )
    :manner
    (r1 / rồi
    )
    :topic
        (m1 / mở_mang
        :agent
            (d / du_học_sinh
            :agent-of
                (đ / đi
                :location
                (n / nước_ngoài
                )
            )
        )
        :theme
        (k / kiến_thức
        )
    )
)",True,"(c / có
:topic(x / xuất khẩu
:prep(v / về)
:theme(l / lao động))
:theme(c1 / cách
:mod(n / nghĩ)
:mod(r1 / riêng))
:example(đ / đi
:agent(d / du học sinh)
:location(n1 / nước ngoài)
:purpose(m / mở mang
:prep(đ1 / để)
:theme(k / kiến thức)))
:pivot(p / person
:wiki -
:name(n1x / name
:op1(a / anh)
:op2(l1 / Luyến))))",0.0
người lao động cũng vậy .,(s /sự:domain(n1 /người:mod(l /lao_động)):modality(c /cũng)),"    (s / sự
    :domain
        (n1 / người
        :mod
        (l / lao_động
        )
    )
    :modality
    (c / cũng
    )
)",True,"(v / vậy
:domain(l / lao động
:classifier(n / người)))",0.0
"sau ba năm làm việc ở nước ngoài , bên cạnh việc tạo vốn giúp gia đình thoát nghèo , họ còn tiếp cận một môi trường làm việc công nghiệp .",(t1 /tiếp_cận:time(s /sau:op1(l /làm_việc:duration(3):location(n1 /nước_ngoài)):pivot(h /họ):theme(m1 /môi_trường:mod(l2 /làm_việc:compound(c1 /công_nghiệp)):quant(1)),(t1 / tiếp_cận:time(s / sau:op1(l / làm_việc:duration(x / 3):location(n1 / nước_ngoài)):pivot(h / họ):theme(m1 / môi_trường:mod(l2 / làm_việc:compound(c1 / công_nghiệp)):quant(x2 / 1)),False,"(t2 / tiếp cận
:topic(b1 / bên
:compound(c / cạnh)
:mod(v / việc
:agent-of(t / tạo
:theme(v1 / vốn)
:purpose(g / giúp
:beneficiary-arg2(g1 / gia đình
:agent-of(t1 / thoát
:theme(n2 / nghèo)))))))
:agent(h / họ)
:theme(m1 / môi trường
:theme-of(l1 / làm việc
:theme(c2 / công nghiệp))
:quant 1)
:time(a / after
:op1(n / năm
:agent-of(l / làm việc
:location(n1 / nước ngoài
:prep(ở / ở))
:agent h)
:quant 3)))",0.0
đến nay xã có 672 người đi làm việc ở nước ngoài .,(c /có:time(n /nay):theme(l /làm_việc:agent(n1 /người:modality(đ1 /đi):quant(672):location(n3 /nước_ngoài)):pivot(x /xã)),(c / có:time(n / nay):theme(l / làm_việc:agent(n1 / người:modality(đ1 / đi):quant(x / 672):location(n3 / nước_ngoài)):pivot(x / xã)),False,"(c / có
:pivot(x / xã)
:theme(n1 / người
:quant 672
:agent-of(đ1 / đi
:compound(l / làm việc)
:location(n2 / nước ngoài
:prep(ở / ở))))
:time(n / now))",0.0
"khi trở về , hầu hết tiếp tục làm việc tốt .",(t1 /tiếp_tục:time(t /trở_về):agent(h /hầu_hết):manner(l /làm_việc:degree(t2 /tốt))),"    (t1 / tiếp_tục
    :time
    (t / trở_về
    )
    :agent
    (h / hầu_hết
    )
    :manner
        (l / làm_việc
        :degree
        (t2 / tốt
        )
    )
)",True,"(t1 / tiếp tục
:time(k / khi
:agent-of(t / trở về))
:topic(l / làm việc
:manner(t2 / tốt)))",0.0
"nhiều người từ nghèo khó nhất xã đã có vốn mở cơ sở , lập trang trại , tạo công ăn việc làm cho nhiều lao động .",(c /có:domain(n1 /người:mod(m /một):source(n2 /ngoài)):tense(đ /đã):theme(v /vốn:purpose(a /and:op1(m1 /mở:agent(l /lao_động:quant(n3 /nhiều)):compound(c1 /cơ_sở)):op2(l1 /lập:theme(t2 /trang_trại)):op3(t3 /tạo:theme(c2 /công_ăn_việc_làm)))),(c / có:domain(n1 / người:mod(m / một):source(n2 / ngoài)):tense(đ / đã):theme(v / vốn:purpose(a / and:op1(m1 / mở:agent(l / lao_động:quant(n3 / nhiều)):compound(c1 / cơ_sở)):op2(l1 / lập:theme(t2 / trang_trại)):op3(t3 / tạo:theme(c2 / công_ăn_việc_làm)))),False,"(c / có
:pivot(n1 / người
:mod(n / nhiều)
:mod(n2 / nghèo khó
:prep(t / từ)
:degree(n3 / nhất)
:poss(x / xã)))
:tense(đ / đã)
:theme(v / vốn
:purpose(o / or
:op1(m / mở
:theme(c1 / cơ sở))
:op2(l / lập
:theme(t1 / trang trại))))
:purpose(t2 / tạo
:theme(c2 / công ăn việc làm)
:beneficiary-arg2(l1 / lao động
:prep(c3 / cho)
:mod(n4 / nhiều))))",0.0
