sentence,linear_amr,graph_amr,is_valid
"tôi nhớ lời anh chủ tịch xã Bùi Văn Luyến nhắc đi nhắc lại : "" coi bộ nhỏ nhưng quan trọng lắm !",(n /nhớ:agent(t /tôi):theme(l /lời:topic(n2 /ncảnh_đi_ncảnh_lại:topic(q /quan_trọng:domain(n3 /nhỏ:modality(c1 /coi_bộ)):degree(l2 /lắm)):agent(chủ_tịch))_:agent(p /person:name(n4 /name:op1(x /xã):op2(wz5 /Bùi):op3(wz6 /Văn):op4(wz7 /Luyến))))))),(n / nhớ:agent(t / tôi):theme(l / lời:topic(n2 / ncảnh_đi_ncảnh_lại:topic(q / quan_trọng:domain(n3 / nhỏ:modality(c1 / coi_bộ)):degree(l2 / lắm)):agent(c / chủ_tịch))_:agent(p / person:name(n4 / name:op1(x / xã):op2(wz5 / Bùi):op3(wz6 / Văn):op4(wz7 / Luyến))))))),False
"hiện nay xã có 68 tổ nhân dân , mỗi tổ phụ trách 40 gia đình .",(c /có:time(h /hiện_nay):theme(t /tổ_nhân_dân:quant(68):theme(p /phụ_trách:agent(t1 /tổ:mod(n1 /nhà)):theme(g /gia_đình:quant(40))),(c / có:time(h / hiện_nay):theme(t / tổ_nhân_dân:quant(x / 68):theme(p / phụ_trách:agent(t1 / tổ:mod(n1 / nhà)):theme(g / gia_đình:quant(x2 / 40))),False
"chủ trương tốt nhưng dân không hiểu , không hưởng ứng thì cũng chịu thua !",(c /contrast-01:ARG2(c2 /chịu_thua):condition(h /hiểu:pivot(d /dân):polarity -:theme(c1 /chủ_trương:mod(t /tốt))):ARG1(hx /hưởng_ứng:polarity -:agent(dân):theme(chủ_trương))),"    (c / contrast-01
    :ARG2
    (c2 / chịu_thua
    )
    :condition
        (h / hiểu
        :pivot
        (d / dân
        )
        :polarity -
        :theme
            (c1 / chủ_trương
            :mod
            (t / tốt
            )
        )
    )
    :ARG1
        (hx / hưởng_ứng
        :polarity -
        :agent
        (d / dân
        )
        :theme
        (c / chủ_trương
        )
    )
)",True
nên trước nhất người đảng viên phải làm gương .,(o /obligate-01:time(t /trước_nhất):topic(l /làm_guốc:agent(n1 /người:mod(d /đảng_viên)):ord(o2 /ordinal-entity:value(1))),(o / obligate-01:time(t / trước_nhất):topic(l / làm_guốc:agent(n1 / người:mod(d / đảng_viên)):ord(o2 / ordinal-entity:value(x / 1))),False
"riêng về xuất khẩu lao động , anh Luyến có cách nghĩ riêng : "" du học sinh đi nước ngoài để mở mang kiến thức .",(c /cách_nghĩ:topic(x /xuất_khẩu_lao_động):pivot(a /anh_Luyến):manner(r1 /rồi):topic(m1 /mở_mang:agent(d /du_học_sinh:agent-of(đ /đi:location(n /nước_ngoài))):theme(k /kiến_thức))),"    (c / cách_nghĩ
    :topic
    (x / xuất_khẩu_lao_động
    )
    :pivot
    (a / anh_Luyến
    )
    :manner
    (r1 / rồi
    )
    :topic
        (m1 / mở_mang
        :agent
            (d / du_học_sinh
            :agent-of
                (đ / đi
                :location
                (n / nước_ngoài
                )
            )
        )
        :theme
        (k / kiến_thức
        )
    )
)",True
người lao động cũng vậy .,(s /sự:domain(n1 /người:mod(l /lao_động)):modality(c /cũng)),"    (s / sự
    :domain
        (n1 / người
        :mod
        (l / lao_động
        )
    )
    :modality
    (c / cũng
    )
)",True
"sau ba năm làm việc ở nước ngoài , bên cạnh việc tạo vốn giúp gia đình thoát nghèo , họ còn tiếp cận một môi trường làm việc công nghiệp .",(t1 /tiếp_cận:time(s /sau:op1(l /làm_việc:duration(3):location(n1 /nước_ngoài)):pivot(h /họ):theme(m1 /môi_trường:mod(l2 /làm_việc:compound(c1 /công_nghiệp)):quant(1)),(t1 / tiếp_cận:time(s / sau:op1(l / làm_việc:duration(x / 3):location(n1 / nước_ngoài)):pivot(h / họ):theme(m1 / môi_trường:mod(l2 / làm_việc:compound(c1 / công_nghiệp)):quant(x2 / 1)),False
đến nay xã có 672 người đi làm việc ở nước ngoài .,(c /có:time(n /nay):theme(l /làm_việc:agent(n1 /người:modality(đ1 /đi):quant(672):location(n3 /nước_ngoài)):pivot(x /xã)),(c / có:time(n / nay):theme(l / làm_việc:agent(n1 / người:modality(đ1 / đi):quant(x / 672):location(n3 / nước_ngoài)):pivot(x / xã)),False
"khi trở về , hầu hết tiếp tục làm việc tốt .",(t1 /tiếp_tục:time(t /trở_về):agent(h /hầu_hết):manner(l /làm_việc:degree(t2 /tốt))),"    (t1 / tiếp_tục
    :time
    (t / trở_về
    )
    :agent
    (h / hầu_hết
    )
    :manner
        (l / làm_việc
        :degree
        (t2 / tốt
        )
    )
)",True
"nhiều người từ nghèo khó nhất xã đã có vốn mở cơ sở , lập trang trại , tạo công ăn việc làm cho nhiều lao động .",(c /có:domain(n1 /người:mod(m /một):source(n2 /ngoài)):tense(đ /đã):theme(v /vốn:purpose(a /and:op1(m1 /mở:agent(l /lao_động:quant(n3 /nhiều)):compound(c1 /cơ_sở)):op2(l1 /lập:theme(t2 /trang_trại)):op3(t3 /tạo:theme(c2 /công_ăn_việc_làm)))),(c / có:domain(n1 / người:mod(m / một):source(n2 / ngoài)):tense(đ / đã):theme(v / vốn:purpose(a / and:op1(m1 / mở:agent(l / lao_động:quant(n3 / nhiều)):compound(c1 / cơ_sở)):op2(l1 / lập:theme(t2 / trang_trại)):op3(t3 / tạo:theme(c2 / công_ăn_việc_làm)))),False
